,transaction_id,status,total_risk,customer_risk,country_risk,vessel_risk
0,1,Under Review,0,0.0,0.0,0.0
1,2,Unsatisfactory,123,25.317217822736435,10.475764022748749,87.20701815451481
2,3,Under Review,0,0.0,0.0,0.0
3,4,Under Review,0,0.0,0.0,0.0
4,5,Under Review,0,0.0,0.0,0.0
5,6,Satisfactory,32,14.056648378895517,14.60099692510439,3.3423546960000987
6,7,Satisfactory,75,30.797237406493217,15.031631472888543,29.171131120618234
7,8,Unsatisfactory,102,5.450426242930031,69.67296967411411,26.87660408295586
8,9,Satisfactory,69,25.076072310250826,29.88897591240411,14.034951777345057
9,10,Under Review,0,0.0,0.0,0.0
10,11,Under Review,0,0.0,0.0,0.0
11,12,Unsatisfactory,179,50.782486081143034,26.53276903853283,101.68474488032415
12,13,Satisfactory,7,0.53729676993805,3.2549828830660705,3.2077203469958797
13,14,Satisfactory,67,12.694956825427209,23.833509806216636,30.471533368356155
14,15,Satisfactory,49,12.595845770228305,33.568558475907,2.835595753864697
15,16,Unsatisfactory,104,42.15343124166063,23.040781398587313,38.80578735975206
16,17,Unsatisfactory,190,114.00209482339382,57.32982245580752,18.668082720798655
17,18,Satisfactory,90,33.26276923024529,16.01450939881462,40.722721370940086
18,19,Unsatisfactory,115,22.242518110746015,87.85255443960224,4.90492744965175
19,20,Unsatisfactory,127,45.92643020461511,50.90999229578053,30.163577499604354
20,21,Under Review,0,0.0,0.0,0.0
21,22,Under Review,0,0.0,0.0,0.0
22,23,Under Review,0,0.0,0.0,0.0
23,24,Under Review,0,0.0,0.0,0.0
24,25,Satisfactory,71,5.506783584071832,57.267847204337116,8.22536921159105
25,26,Satisfactory,11,5.7903878571994465,2.965240425858829,2.2443717169417243
26,27,Satisfactory,19,6.546884938213017,6.331918766067843,6.12119629571914
27,28,Under Review,0,0.0,0.0,0.0
28,29,Satisfactory,29,10.020735585278521,10.71209266050768,8.2671717542138
29,30,Unsatisfactory,179,59.23586891378169,68.88075270693069,50.88337837928763
30,31,Satisfactory,25,8.823559296783818,8.809822284706595,7.366618418509582
31,32,Unsatisfactory,125,25.025671663071773,64.66062233048923,35.31370600643899
32,33,Unsatisfactory,188,6.933063891911659,88.4699354107631,92.59700069732526
33,34,Satisfactory,39,2.8104236576927857,29.115414896265147,7.074161446042067
34,35,Satisfactory,83,43.91551170874888,34.63288315976576,4.4516051314853575
35,36,Under Review,0,0.0,0.0,0.0
36,37,Satisfactory,75,28.335105917874184,23.73094123858378,22.933952843542027
37,38,Unsatisfactory,126,35.32401683672937,36.03175367351595,54.6442294897547
38,39,Unsatisfactory,179,2.8174357548697335,127.06779971626243,49.11476452886781
39,40,Unsatisfactory,192,57.623481697960784,51.932779967291324,82.44373833474788
40,41,Satisfactory,48,21.82958067421332,11.998950408958468,14.171468916828209
41,42,Satisfactory,86,50.54943833464457,12.754634946307107,22.695926719048327
42,43,Unsatisfactory,115,16.385193464453074,41.13584679097052,57.47895974457641
43,44,Under Review,0,0.0,0.0,0.0
44,45,Satisfactory,76,3.45437205467848,36.49523965042687,36.05038829489465
45,46,Under Review,0,0.0,0.0,0.0
46,47,Under Review,0,0.0,0.0,0.0
47,48,Unsatisfactory,155,74.28870203650713,44.505445603105706,36.20585236038716
48,49,Satisfactory,64,35.9879925876597,7.535468288696186,20.47653912364412
49,50,Unsatisfactory,198,46.02613235026263,79.63072969344181,72.34313795629554
50,51,Under Review,0,0.0,0.0,0.0
51,52,Satisfactory,86,11.168585257201437,43.4831822338422,31.348232508956368
52,53,Satisfactory,62,31.42595579814525,16.32176908045907,14.252275121395678
53,54,Under Review,0,0.0,0.0,0.0
54,55,Under Review,0,0.0,0.0,0.0
55,56,Under Review,0,0.0,0.0,0.0
56,57,Under Review,0,0.0,0.0,0.0
57,58,Under Review,0,0.0,0.0,0.0
58,59,Satisfactory,20,1.2463136361966791,16.249994630962156,2.5036917328411636
59,60,Unsatisfactory,111,38.92364078519498,30.207831641759082,41.86852757304592
60,61,Unsatisfactory,121,30.071468672767065,7.709622970957967,83.21890835627497
61,62,Unsatisfactory,131,42.95085347073658,49.548393124689774,38.50075340457364
62,63,Under Review,0,0.0,0.0,0.0
63,64,Unsatisfactory,153,47.92131480051915,40.89404946816616,64.18463573131469
64,65,Satisfactory,7,2.854578622033471,1.495239877859102,2.650181500107427
65,66,Satisfactory,64,22.75219393827919,14.529003296877077,26.718802764843726
66,67,Unsatisfactory,188,40.54448401817968,10.37959562347691,137.0759203583434
